"rank","name","step","value"
0,"Page faults (minor)",0,4682
0,"Page faults (major)",0,24
0,"Pages swapped (not maintained)",0,0
0,"program size (pages)",0,79771
0,"resident set size (pages)",0,2658
0,"resident shared pages",0,814
0,"Page faults (minor)",0,4684
0,"Page faults (major)",0,24
0,"Pages swapped (not maintained)",0,0
0,"GPU: Device 0 Utilization %",0,0
0,"GPU: Device 0 Memory Utilization %",0,0
0,"GPU: Device 0 Memory Total (GB)",0,16.9455
0,"GPU: Device 0 Memory Free (GB)",0,16.9428
0,"GPU: Device 0 Memory Used (GB)",0,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",0,877
0,"cpu: User %",0,3.5014
0,"cpu: Nice %",0,0
0,"cpu: System %",0,0.420168
0,"cpu: Idle %",0,96.0784
0,"cpu: I/O Wait %",0,0
0,"cpu: IRQ %",0,0
0,"cpu: soft IRQ %",0,0
0,"cpu: Steal %",0,0
0,"cpu: Guest %",0,0
0,"meminfo:MemTotal (MB)",0,630978
0,"meminfo:MemFree (MB)",0,556484
0,"meminfo:MemAvailable (MB)",0,588255
0,"program size (pages)",1,79771
0,"resident set size (pages)",1,2658
0,"resident shared pages",1,814
0,"Page faults (minor)",1,4746
0,"Page faults (major)",1,24
0,"Pages swapped (not maintained)",1,0
0,"GPU: Device 0 Utilization %",1,0
0,"GPU: Device 0 Memory Utilization %",1,0
0,"GPU: Device 0 Memory Free (GB)",1,16.9428
0,"GPU: Device 0 Memory Used (GB)",1,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",1,877
0,"cpu: User %",1,3.39877
0,"cpu: Nice %",1,0
0,"cpu: System %",1,0.038117
0,"cpu: Idle %",1,96.5631
0,"cpu: I/O Wait %",1,0
0,"cpu: IRQ %",1,0
0,"cpu: soft IRQ %",1,0
0,"cpu: Steal %",1,0
0,"cpu: Guest %",1,0
0,"meminfo:MemTotal (MB)",1,630978
0,"meminfo:MemFree (MB)",1,556468
0,"meminfo:MemAvailable (MB)",1,588241
0,"program size (pages)",2,79771
0,"resident set size (pages)",2,2658
0,"resident shared pages",2,814
0,"Page faults (minor)",2,4746
0,"Page faults (major)",2,24
0,"Pages swapped (not maintained)",2,0
0,"GPU: Device 0 Utilization %",2,0
0,"GPU: Device 0 Memory Utilization %",2,0
0,"GPU: Device 0 Memory Free (GB)",2,16.9428
0,"GPU: Device 0 Memory Used (GB)",2,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",2,877
0,"cpu: User %",2,3.43357
0,"cpu: Nice %",2,0
0,"cpu: System %",2,0.0227389
0,"cpu: Idle %",2,96.5437
0,"cpu: I/O Wait %",2,0
0,"cpu: IRQ %",2,0
0,"cpu: soft IRQ %",2,0
0,"cpu: Steal %",2,0
0,"cpu: Guest %",2,0
0,"meminfo:MemTotal (MB)",2,630978
0,"meminfo:MemFree (MB)",2,556467
0,"meminfo:MemAvailable (MB)",2,588241
0,"program size (pages)",3,79771
0,"resident set size (pages)",3,2658
0,"resident shared pages",3,814
0,"Page faults (minor)",3,4746
0,"Page faults (major)",3,24
0,"Pages swapped (not maintained)",3,0
0,"GPU: Device 0 Utilization %",3,0
0,"GPU: Device 0 Memory Utilization %",3,0
0,"GPU: Device 0 Memory Free (GB)",3,16.9428
0,"GPU: Device 0 Memory Used (GB)",3,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",3,877
0,"cpu: User %",3,3.41929
0,"cpu: Nice %",3,0
0,"cpu: System %",3,0.00567988
0,"cpu: Idle %",3,96.5694
0,"cpu: I/O Wait %",3,0
0,"cpu: IRQ %",3,0
0,"cpu: soft IRQ %",3,0.00567988
0,"cpu: Steal %",3,0
0,"cpu: Guest %",3,0
0,"meminfo:MemTotal (MB)",3,630978
0,"meminfo:MemFree (MB)",3,556467
0,"meminfo:MemAvailable (MB)",3,588241
0,"program size (pages)",4,79771
0,"resident set size (pages)",4,2658
0,"resident shared pages",4,814
0,"Page faults (minor)",4,4746
0,"Page faults (major)",4,24
0,"Pages swapped (not maintained)",4,0
0,"GPU: Device 0 Utilization %",4,0
0,"GPU: Device 0 Memory Utilization %",4,0
0,"GPU: Device 0 Memory Free (GB)",4,16.9428
0,"GPU: Device 0 Memory Used (GB)",4,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",4,877
0,"cpu: User %",4,3.43065
0,"cpu: Nice %",4,0
0,"cpu: System %",4,0.0340793
0,"cpu: Idle %",4,96.5353
0,"cpu: I/O Wait %",4,0
0,"cpu: IRQ %",4,0
0,"cpu: soft IRQ %",4,0
0,"cpu: Steal %",4,0
0,"cpu: Guest %",4,0
0,"meminfo:MemTotal (MB)",4,630978
0,"meminfo:MemFree (MB)",4,556467
0,"meminfo:MemAvailable (MB)",4,588241
0,"program size (pages)",5,79771
0,"resident set size (pages)",5,2658
0,"resident shared pages",5,814
0,"Page faults (minor)",5,4746
0,"Page faults (major)",5,24
0,"Pages swapped (not maintained)",5,0
0,"GPU: Device 0 Utilization %",5,0
0,"GPU: Device 0 Memory Utilization %",5,0
0,"GPU: Device 0 Memory Free (GB)",5,16.9428
0,"GPU: Device 0 Memory Used (GB)",5,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",5,877
0,"cpu: User %",5,3.43926
0,"cpu: Nice %",5,0
0,"cpu: System %",5,0.00568473
0,"cpu: Idle %",5,96.5551
0,"cpu: I/O Wait %",5,0
0,"cpu: IRQ %",5,0
0,"cpu: soft IRQ %",5,0
0,"cpu: Steal %",5,0
0,"cpu: Guest %",5,0
0,"meminfo:MemTotal (MB)",5,630978
