"benchmark","L1 miss ratio","L2 miss ratio","TLB miss ratio"
"_1",0.0175200712694225,0.890950186631012,0.0155267739621123
"_1",0.00652013034454126,0.801936182036208,0.00522236355352394
"_1",0.00606687879201457,0.704495506069366,0.00414541668534892
"_1",0.00416875488337537,0.573801931435186,0.0022642815564861
"_1",0.00268794801902523,0.501001796324444,0.00127722571236948
"_1",0.00167431472538979,0.422536704298511,0.000687318648515836
"_1",0.000997283804524498,0.320521006257183,0.000284811653157885
"_1",0.000738202278058555,0.250755613126079,0.000139477594620507
"_1",0.000602525149653306,0.194419208306295,0.0000738973861290857
"_1",0.000505320567470331,0.146581064356436,0.0000289012656998223
"_4",0.0248185101933791,0.881269871399421,0.0149593634013841
"_4",0.00936132783495733,0.803530858126383,0.00517810637494993
"_4",0.00869801381763644,0.673679826076356,0.00409765392586539
"_4",0.00587961970205905,0.520891910417279,0.00227507909155835
"_4",0.00373947217345914,0.446989849675044,0.00127100608573266
"_4",0.00228251857847913,0.384943624755871,0.000663920891540398
"_4",0.00121934527298175,0.305810128069557,0.000275350086064453
"_4",0.00086108544609669,0.25339064390936,0.000145612638421592
"_4",0.000655174378188468,0.207979720048496,0.0000740965246255214
"_4",0.000524591276933225,0.159991386735573,0.0000283216133333024
"_16",0.0399672346075307,0.710225992863383,0.0125853935562874
"_16",0.016576918379479,0.675757588068724,0.00491687608933338
"_16",0.0153742123490129,0.603899741935205,0.00390002294819867
"_16",0.0104602998376589,0.513604259620523,0.00214408200390761
"_16",0.00655482515438764,0.468338311342095,0.0012099395490828
"_16",0.0038247903526904,0.433017928286853,0.000630085073458567
"_16",0.00185907043766125,0.378490497076023,0.000260170421570099
"_16",0.0011597240098268,0.318977159297751,0.000129656900174766
"_16",0.000787190634646908,0.263039867109635,0.0000669621731227701
"_16",0.000570469823370686,0.199271722752386,0.0000318973364205168
"_64",0.0722251864758955,0.534866844333115,0.00860387626406433
"_64",0.0379436555377905,0.520980374533947,0.00432489244653944
"_64",0.0351268247204709,0.477063140468047,0.00341138888244497
"_64",0.0233490014885327,0.419825593034509,0.00187813457333271
"_64",0.0144411551008616,0.390755352425851,0.00107262413047683
"_64",0.00830879698277763,0.368261273755277,0.000561862914814982
"_64",0.00384467997035307,0.345244224532781,0.000232590480838688
"_64",0.00210485534328339,0.322499106052946,0.00011978024521127
"_64",0.00120759355084135,0.296267298658428,0.000059635597030009
"_64",0.00069468428484599,0.257405710795541,0.0000224840777713192
"_256",0.103888249963963,0.458079333143146,0.00457956756640111
"_256",0.0760297108863061,0.450181732278043,0.00322496041790509
"_256",0.0703541274989898,0.413798440304174,0.00255851277380561
"_256",0.0459215557751286,0.373140146235155,0.0013932818568542
"_256",0.0280339195301855,0.352896744837585,0.000791045880234153
"_256",0.0156588858252449,0.341441060287677,0.00042274043792021
"_256",0.00717018137969641,0.321197841453219,0.000175525457598875
"_256",0.00377148551964715,0.312677395921485,0.0000859111562685483
"_256",0.00204829196232886,0.296253441605967,0.0000445311846673613
"_256",0.00090332439783842,0.273513036071986,0.0000184971306889956
"_512",0.113227603524358,0.44550193933678,0.00338643649135516
"_512",0.0939637120315969,0.438125297537007,0.00270700653048537
"_512",0.0871283402309362,0.397573152231463,0.00214040664486569
"_512",0.0560738071713496,0.365375397581989,0.00117962867524648
"_512",0.0337882653914533,0.351479237952797,0.000662560240526105
"_512",0.0187561057351813,0.340650273076658,0.000349769020409846
"_512",0.00839165359733153,0.324847455568471,0.000146750759835202
"_512",0.00443176174861149,0.312912029452294,0.0000758169954418381
"_512",0.00236717665901568,0.303705142959631,0.0000368319848905474
"_512",0.00101449284139549,0.297639934857523,0.0000158494372528446
"_1024",0.118703355440384,0.437744864365403,0.00268732192905232
"_1024",0.107001056371243,0.430950939383687,0.00233010461251078
"_1024",0.100031853182446,0.394761821622131,0.00184634439028011
"_1024",0.0642000924096515,0.361160536251384,0.00101205904471749
"_1024",0.0382491003128594,0.347954164071596,0.000566205072293689
"_1024",0.0208826903564998,0.341489649293194,0.000303996134061868
"_1024",0.00877956942750876,0.333770723574073,0.00012476809052731
"_1024",0.00453383778941315,0.326256757116608,0.0000648879969633331
"_1024",0.00254857664750547,0.319104305845192,0.0000311319991602766
"_1024",0.0010814928138663,0.295952508921524,0.0000130691315738739
"_4096",0.123271398231343,0.437221605005231,0.002109414731924
"_4096",0.119639287139879,0.431780808279195,0.00197910347326599
"_4096",0.114640854772581,0.389408946256145,0.00156955245888015
"_4096",0.0793013016760303,0.33823587117516,0.000856589645912255
"_4096",0.0457952970463746,0.332408494356794,0.00047765939936454
"_4096",0.0241719923151836,0.341717887199102,0.000256954344877436
"_4096",0.00945426357693704,0.349556647812878,0.00010552067165153
"_4096",0.00476463124857712,0.343531074167709,0.0000520141201728951
"_4096",0.00254791055979685,0.343024230873945,0.0000255768456868432
"_4096",0.00101358406579932,0.336148698708488,0.0000106453376537393
"_16384",0.124651046257183,0.436901055438585,0.00195590603243634
"_16384",0.123798072903913,0.431688880426272,0.00187808758571407
"_16384",0.123797945392909,0.382588146162721,0.00150128185404142
"_16384",0.123796756498027,0.247493112197051,0.000840671459898451
"_16384",0.123796993133943,0.151900311917167,0.000464845192720535
"_16384",0.123797269952327,0.0870766643438913,0.000242317453784683
"_16384",0.123797840677301,0.0410346681507331,0.0000975237072466922
"_16384",0.123799720499969,0.0169472017905141,0.0000562299433245386
"_16384",0.123803425161713,0.009890167384459,0.0000310567037447011
"_16384",0.123827037538838,0.00381692394473137,0.0000123496025310442
"_65536",0.12491863204472,0.43779036653157,0.00191889847251213
"_65536",0.124723376578568,0.434998234814895,0.00183759588370638
"_65536",0.124722997095992,0.397518597994102,0.00153449645231392
"_65536",0.124722713193907,0.289954934834718,0.000848467887085949
"_65536",0.124722469953504,0.195734005829282,0.000529295165559013
"_65536",0.124722484220318,0.112407925347529,0.000266289965756296
"_65536",0.124722788614311,0.0443755964412832,0.0000938007199296029
"_65536",0.124723479020387,0.0209509226536762,0.0000508598984086713
"_65536",0.124725296651951,0.0130157506242081,0.0000154577367839982
"_65536",0.124731046174971,0.00729263197304638,0.0000137812533472386
"_1",0.0171123291226868,0.917899941064763,0.0157658193433182
"_1",0.00610208145017227,0.886285485805678,0.0053840940074002
"_1",0.00580378877133995,0.79372148140651,0.00446927561249789
"_1",0.00403810236257287,0.675942691181296,0.00254589927136983
"_1",0.00250146128572275,0.625959305757802,0.00146192555819737
"_1",0.00138521668054065,0.603569553805774,0.000784352367150933
"_1",0.000610121189972573,0.613604430118192,0.000324403740166927
"_1",0.000311662186348389,0.666565579984837,0.000161664605902402
"_1",0.000164092084709789,0.701588271227856,0.0000835996644373587
"_1",0.0000746071746614166,0.751381215469613,0.000034870199320568
"_4",0.0245015450099276,0.871914803246676,0.015174917267362
"_4",0.00895198913679678,0.842887354732443,0.00534129431361179
"_4",0.00848245230193735,0.737873940295225,0.0044127726640825
"_4",0.00585623986712347,0.588772472231765,0.00255431996386657
"_4",0.0036575383767524,0.522028308672989,0.00144215994604318
"_4",0.00209831533484014,0.481501622006788,0.000765312371675348
"_4",0.000888457957086977,0.457170640960595,0.000317921937891793
"_4",0.000469379840963806,0.487047859737798,0.000168548713265423
"_4",0.000237351867350776,0.504657886283328,0.0000860230704850624
"_4",0.000108917974899142,0.538804307463795,0.0000339382095700226
"_16",0.0396920966846224,0.722288217070826,0.0127911507410596
"_16",0.0162330559829657,0.704775717829066,0.00507283842744482
"_16",0.0153228571263944,0.642691813871338,0.00420060522206601
"_16",0.0106551895854525,0.557851266167766,0.00240587963215367
"_16",0.00668006510996968,0.519012944983819,0.00137890983056528
"_16",0.00378784336690121,0.495955201692705,0.000726994517567784
"_16",0.0016470054626909,0.479303435928042,0.000304788432357034
"_16",0.000856414470249384,0.476629610914603,0.000153328295317529
"_16",0.000423593990482793,0.484545093365117,0.0000803157036815305
"_16",0.000195267341838515,0.512851649463671,0.0000341016027108979
"_64",0.0721080589390464,0.539310972819189,0.00872755903481312
"_64",0.0377064294283349,0.53174613004922,0.004455199638497
"_64",0.0354957771974961,0.494767687110974,0.00367587860438771
"_64",0.0242586209351699,0.440071418858599,0.00210959968586813
"_64",0.0151362352575567,0.4135080002653,0.00122685941834133
"_64",0.00863023785441083,0.394674149282835,0.000649149880082954
"_64",0.00402018209841814,0.38185037741702,0.000271449434318768
"_64",0.00200248566138532,0.37306252652972,0.00013942022618407
"_64",0.00101205799909461,0.376147486940204,0.0000693793444630608
"_64",0.000456285225803515,0.4051385822909,0.0000264219437006235
"_256",0.103872252813852,0.460730459508655,0.00463773761460582
"_256",0.0759711170721138,0.456478534492119,0.00332152534162631
