"benchmark","IPC","L1 miss ratio","L2 miss ratio","TLB miss ratio"
"_1.000",0.658882488677829,0.0175200712694225,0.890950186631012,0.0155267739621123
"_0.500",0.763413895696035,0.00652013034454126,0.801936182036208,0.00522236355352394
"_0.250",0.768435647916941,0.00606687879201457,0.704495506069366,0.00414541668534892
"_0.100",0.783920706878567,0.00416875488337537,0.573801931435186,0.0022642815564861
"_0.050",0.799165554055758,0.00268794801902523,0.501001796324444,0.00127722571236948
"_0.025",0.813295567620455,0.00167431472538979,0.422536704298511,0.000687318648515836
"_0.010",0.826951338514463,0.000997283804524498,0.320521006257183,0.000284811653157885
"_0.005",0.832888047475374,0.000738202278058555,0.250755613126079,0.000139477594620507
"_0.003",0.832212568653551,0.000602525149653306,0.194419208306295,0.0000738973861290857
"_0.001",0.824853004419969,0.000505320567470331,0.146581064356436,0.0000289012656998223
"_1.000",0.587744241010862,0.0248185101933791,0.881269871399421,0.0149593634013841
"_0.500",0.729386552788173,0.00936132783495733,0.803530858126383,0.00517810637494993
"_0.250",0.737260724806681,0.00869801381763644,0.673679826076356,0.00409765392586539
"_0.100",0.769602582543112,0.00587961970205905,0.520891910417279,0.00227507909155835
"_0.050",0.798339958375006,0.00373947217345914,0.446989849675044,0.00127100608573266
"_0.025",0.821764624400303,0.00228251857847913,0.384943624755871,0.000663920891540398
"_0.010",0.841939002950153,0.00121934527298175,0.305810128069557,0.000275350086064453
"_0.005",0.849339695169749,0.00086108544609669,0.25339064390936,0.000145612638421592
"_0.003",0.849818161709397,0.000655174378188468,0.207979720048496,0.0000740965246255214
"_0.001",0.844537333769108,0.000524591276933225,0.159991386735573,0.0000283216133333024
"_1.000",0.386363564342133,0.0399672346075307,0.710225992863383,0.0125853935562874
"_0.500",0.581536455004212,0.016576918379479,0.675757588068724,0.00491687608933338
"_0.250",0.62379506715406,0.0153742123490129,0.603899741935205,0.00390002294819867
"_0.100",0.718636864301131,0.0104602998376589,0.513604259620523,0.00214408200390761
"_0.050",0.785184264310199,0.00655482515438764,0.468338311342095,0.0012099395490828
"_0.025",0.83055024195714,0.0038247903526904,0.433017928286853,0.000630085073458567
"_0.010",0.863817894750916,0.00185907043766125,0.378490497076023,0.000260170421570099
"_0.005",0.875423631608004,0.0011597240098268,0.318977159297751,0.000129656900174766
"_0.003",0.879161558050968,0.000787190634646908,0.263039867109635,0.0000669621731227701
"_0.001",0.876372804022001,0.000570469823370686,0.199271722752386,0.0000318973364205168
"_1.000",0.539449636132543,0.0722251864758955,0.534866844333115,0.00860387626406433
"_0.500",0.639323010828793,0.0379436555377905,0.520980374533947,0.00432489244653944
"_0.250",0.695564408411963,0.0351268247204709,0.477063140468047,0.00341138888244497
"_0.100",0.821615790335173,0.0233490014885327,0.419825593034509,0.00187813457333271
"_0.050",0.911652605059514,0.0144411551008616,0.390755352425851,0.00107262413047683
"_0.025",0.975925382718657,0.00830879698277763,0.368261273755277,0.000561862914814982
"_0.010",1.02252314862089,0.00384467997035307,0.345244224532781,0.000232590480838688
"_0.005",1.03835917370262,0.00210485534328339,0.322499106052946,0.00011978024521127
"_0.003",1.04856784447022,0.00120759355084135,0.296267298658428,0.000059635597030009
"_0.001",1.05850074260622,0.00069468428484599,0.257405710795541,0.0000224840777713192
"_1.000",0.713717144967495,0.103888249963963,0.458079333143146,0.00457956756640111
"_0.500",0.743422501732332,0.0760297108863061,0.450181732278043,0.00322496041790509
"_0.250",0.816499527365963,0.0703541274989898,0.413798440304174,0.00255851277380561
"_0.100",0.996011068162442,0.0459215557751286,0.373140146235155,0.0013932818568542
"_0.050",1.12530200653391,0.0280339195301855,0.352896744837585,0.000791045880234153
"_0.025",1.22642210160907,0.0156588858252449,0.341441060287677,0.00042274043792021
"_0.010",1.30044590625028,0.00717018137969641,0.321197841453219,0.000175525457598875
"_0.005",1.33138838790197,0.00377148551964715,0.312677395921485,0.0000859111562685483
"_0.003",1.34956822508523,0.00204829196232886,0.296253441605967,0.0000445311846673613
"_0.001",1.36959065893126,0.00090332439783842,0.273513036071986,0.0000184971306889956
"_1.000",0.776546293600346,0.113227603524358,0.44550193933678,0.00338643649135516
"_0.500",0.791016392437403,0.0939637120315969,0.438125297537007,0.00270700653048537
"_0.250",0.874696362891858,0.0871283402309362,0.397573152231463,0.00214040664486569
"_0.100",1.07453704740362,0.0560738071713496,0.365375397581989,0.00117962867524648
"_0.050",1.22680401367056,0.0337882653914533,0.351479237952797,0.000662560240526105
"_0.025",1.34506040444617,0.0187561057351813,0.340650273076658,0.000349769020409846
"_0.010",1.43212997377825,0.00839165359733153,0.324847455568471,0.000146750759835202
"_0.005",1.46834376802133,0.00443176174861149,0.312912029452294,0.0000758169954418381
"_0.003",1.48822997451199,0.00236717665901568,0.303705142959631,0.0000368319848905474
