Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  9.93     41.81    41.81      750     0.06     0.06  .__module_advect_em_NMOD_advect_scalar_pd
  6.59     69.58    27.77    11250     0.00     0.00  .__module_mp_wsm5_NMOD_wsm52d
  6.40     96.55    26.97     1950     0.01     0.01  .__module_advect_em_NMOD_advect_scalar
  4.90    117.19    20.64     1050     0.02     0.02  .__module_small_step_em_NMOD_advance_uv
  4.68    136.90    19.71     1050     0.02     0.02  .__module_small_step_em_NMOD_advance_mu_t
  4.08    154.09    17.19     2250     0.01     0.01  .__module_em_NMOD_rk_update_scalar
  3.80    170.11    16.02     1050     0.02     0.02  .__module_small_step_em_NMOD_advance_w
  2.86    182.14    12.03      150     0.08     0.08  .__module_diffusion_em_NMOD_cal_deform_and_div
  2.84    194.12    11.98      450     0.03     0.03  .__module_small_step_em_NMOD_small_step_prep
  2.80    205.93    11.81     9900     0.00     0.00  .__module_big_step_utilities_em_NMOD_zero_tend
  2.69    217.27    11.34     1050     0.01     0.01  .__module_small_step_em_NMOD_sumflux
  2.67    228.50    11.23     1200     0.01     0.01  .__module_big_step_utilities_em_NMOD_horizontal_diffusion
  2.64    239.61    11.11     1500     0.01     0.01  .__module_small_step_em_NMOD_calc_p_rho
  2.43    249.83    10.22    11250     0.00     0.00  .__module_bl_ysu_NMOD_ysu2d
  2.11    258.71     8.88      450     0.02     0.02  .__module_big_step_utilities_em_NMOD_calc_cq
  2.03    267.25     8.54      450     0.02     0.02  .__module_advect_em_NMOD_advect_v
  2.01    275.72     8.47      450     0.02     0.02  .__module_advect_em_NMOD_advect_w
  1.94    283.87     8.15      450     0.02     0.02  .__module_big_step_utilities_em_NMOD_horizontal_pressure_gradient
  1.94    292.02     8.15                             .f_pack_int_ikj
  1.84    299.75     7.73      450     0.02     0.02  .__module_big_step_utilities_em_NMOD_curvature
  1.68    306.84     7.09      450     0.02     0.02  .__module_big_step_utilities_em_NMOD_rhs_ph
  1.62    313.68     6.84      450     0.02     0.02  .__module_em_NMOD_rk_addtend_dry
  1.61    320.48     6.80      150     0.05     0.05  .__module_big_step_utilities_em_NMOD_phy_prep
  1.58    327.12     6.64      450     0.01     0.01  .__module_advect_em_NMOD_advect_u
  1.50    333.44     6.32      450     0.01     0.01  .__module_small_step_em_NMOD_small_step_finish
  1.41    339.37     5.93                             .f_unpack_int_ikj
  1.38    345.19     5.82    18476     0.00     0.00  .__module_bc_NMOD_set_physical_bc3d
  1.18    350.18     4.99      450     0.01     0.01  .__module_big_step_utilities_em_NMOD_coriolis
  0.98    354.31     4.13      750     0.01     0.01  .__module_em_NMOD_rk_update_scalar_pd
  0.95    358.29     3.98      150     0.03     0.03  .__module_diffusion_em_NMOD_calculate_n2
  0.93    362.19     3.90      450     0.01     0.01  .__module_big_step_utilities_em_NMOD_couple_momentum
  0.84    365.71     3.52    47700     0.00     0.00  .__module_ra_rrtm_NMOD_rtrn
  0.80    369.08     3.37     1650     0.00     0.00  .__module_physics_addtendc_NMOD_add_a2a
  0.67    371.89     2.81      600     0.00     0.01  .__module_big_step_utilities_em_NMOD_calc_p_rho_phi
  0.64    374.60     2.71      150     0.02     0.02  .__module_em_NMOD_calculate_phy_tend
  0.63    377.24     2.64      450     0.01     0.01  .__module_small_step_em_NMOD_calc_coef_w
  0.61    379.80     2.56      150     0.02     0.02  .__module_diffusion_em_NMOD_compute_diff_metrics
  0.57    382.22     2.42    22500     0.00     0.00  .__module_bl_ysu_NMOD_tridin
  0.57    384.64     2.42      450     0.01     0.01  .__module_big_step_utilities_em_NMOD_w_damp
  0.51    386.77     2.13      450     0.00     0.00  .__module_big_step_utilities_em_NMOD_pg_buoy_w
  0.51    388.90     2.13      150     0.01     0.01  .__module_big_step_utilities_em_NMOD_moist_physics_prep_em
  0.48    390.93     2.03   294150     0.00     0.00  .__module_cu_kfeta_NMOD_kf_eta_para
  0.47    392.93     2.00    47700     0.00     0.00  .__module_ra_rrtm_NMOD_gasabs
  0.44    394.77     1.84      150     0.01     0.01  .__module_diffusion_em_NMOD_smag2d_km
  0.41    396.50     1.73      150     0.01     0.10  .__module_pbl_driver_NMOD_pbl_driver
  0.39    398.16     1.66      150     0.01     0.01  .__module_big_step_utilities_em_NMOD_horizontal_diffusion_3dmp
  0.33    399.56     1.40      450     0.00     0.00  .__module_big_step_utilities_em_NMOD_calc_ww_cp
  0.31    400.87     1.31     1050     0.00     0.00  .__module_bc_em_NMOD_spec_bdyupdate_ph
  0.29    402.10     1.23     5250     0.00     0.00  .__module_bc_NMOD_spec_bdyupdate
  0.29    403.33     1.23      150     0.01     0.01  .__module_surface_driver_NMOD_surface_driver
  0.25    404.39     1.06      450     0.00     0.00  .__module_big_step_utilities_em_NMOD_calc_alt
  0.25    405.45     1.06      158     0.01     0.19  .__module_mp_wsm5_NMOD_wsm5
  0.24    406.44     0.99      450     0.00     0.00  .__module_big_step_utilities_em_NMOD_calc_php
  0.23    407.40     0.96     1800     0.00     0.00  .__module_bc_NMOD_flow_dep_bdy
  0.21    408.28     0.88      900     0.00     0.00  .__module_bc_NMOD_relax_bdytend
  0.17    409.00     0.72      150     0.00     0.02  .__module_cu_kfeta_NMOD_kf_eta_cps
  0.14    409.60     0.60        1     0.60     0.61  .__module_alloc_space_NMOD_alloc_space_field_core
  0.13    410.15     0.55    47700     0.00     0.00  .__module_ra_rrtm_NMOD_o3data
  0.13    410.69     0.54     2400     0.00     0.00  .__module_bc_NMOD_spec_bdytend
  0.11    411.17     0.48   382500     0.00     0.00  .vssqrt
  0.11    411.64     0.47    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb3
  0.11    412.10     0.46   382500     0.00     0.00  .vsrec
  0.09    412.49     0.39      150     0.00     0.09  .__module_bl_ysu_NMOD_ysu
