Cluster Name,NOISE,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
Density,72,882,896,896,2688,20,64,72,26
Total Duration,19933095783,902886713438,322212339564,90909490637,3327866510,1742518003,1619901930,3553282,2081932
Avg. Duration,425191244,1991327851,699858367,197488258,2506338,143039123,45435107,89845,115257
% Total Duration,0.01485,0.67247,0.23998,0.06771,0.00248,0.00130,0.00121,0.00000,0.00000
PM_CYC,352582183,4640464296,1629522544,459913689,5642398,317232691,114787406,76086,118096
PM_INST_CMPL,406111338,692635537,721276557,731441136,316196,300594980,52342077,11184,6222
PM_LD_REF_L1,610245653,2095674921,1291997010,453586088,15274,105571932,22909579,13369,12206
PM_ST_REF_L1,46532320,125420484,125055782,125028293,250503,72634723,12793261,1605,1098
PM_DATA_FROM_L2,26650824,125201387,8287958,10391030,63,nan,46259,354,nan
PM_DATA_FROM_L25_MOD,1421,181,23,17,1,nan,265,7,nan
PM_DATA_FROM_L25_SHR,1870,3811,695,682,13,nan,547,56,nan
PM_DATA_FROM_MEM,1289218,7722726,1066729,106605,89,6542,836,48,nan
PM_INST_FROM_L1,3386,4137,958,517,73,nan,875,21,134
PM_INST_FROM_PREF,17130,1494,3632,12614,16,40024,23440,66,36
PM_INST_FROM_L2,185,2485,529,242,49,93444,35386,145,nan
PM_INST_FROM_L25_MOD,0,0,0,0,0,0,0,0,nan
PM_INST_FROM_L25_SHR,0,0,0,0,0,0,0,0,nan
PM_INST_FROM_MEM,0,0,0,0,0,0,0,0,0
PM_FPU_FIN,250008344,250009771,250002077,250000658,250007,482,2502976,0,18
PM_FPU_FDIV,0,0,0,0,0,0,0,0,0
PM_FPU_FSQRT,0,0,0,0,0,nan,0,0,0
PM_FXU_FIN,160705213,160744134,64615636,71488745,40661,153331864,40829758,13531,9918
PM_BR_ISSUED,90204959,32231886,32056303,32566092,31989,nan,14610288,2663,nan
PM_BR_MPRED_CR,210900,257178,252790,1275591,27,nan,107520,125,nan
PM_BR_MPRED_TA,2180061,4466,1274,442,32,1920620,9182,94,71
PM_DTLB_MISS,1029,4920,2978,11206,325,1420,4826,14,22
PM_DSLB_MISS,1024236,825,211,65,11,nan,244,17,nan
PM_ITLB_MISS,146,70,42,44,1,434,36,6,17
PM_ISLB_MISS,1858,380,114,39,0,nan,1363,6,nan
PM_GRP_CMPL,47545133,189584808,188622369,192597014,94990,111908005,21948619,4442,nan
PM_GCT_EMPTY_CYC,4697825,1716510,1273795,274159,2464999,10095885,5315459,7602,37978
PM_GCT_EMPTY_IC_MISS,3655799,1539920,762941,198126,23995,5682300,1019790,3503,37500
PM_GCT_EMPTY_BR_MPRED,1325801,91260,32973,81909,299,2357560,41069,3377,336
PM_CMPLU_STALL_LSU,1085425757,3587714512,1139759211,75015956,3043652,113546092,39535242,51606,76344
PM_CMPLU_STALL_REJECT,156099563,451628516,386019687,14562061,466837,nan,21634972,11148,22026
PM_CMPLU_STALL_ERAT_MISS,47794211,190298405,1526022,3216390,446310,282696,484016,1304,1761
PM_CMPLU_STALL_DCACHE_MISS,1074438515,3134351667,743705044,57634365,46512,nan,13399630,26600,45865
PM_CMPLU_STALL_FXU,338138,364027,154812,211914,51985,70916761,28675180,4135,2513
PM_CMPLU_STALL_DIV,177999,185707,63372,18446,402,58448500,23273317,2856,1103
PM_CMPLU_STALL_FPU,2147483848,859323141,297516690,185145284,1,nan,536,0,8
PM_CMPLU_STALL_FDIV,121,96,38,12,2,nan,3,2,2
PM_CMPLU_STALL_OTHER,0,0,0,0,0,nan,0,0,0
PM_1PLUS_PPC_CMPL,145091644,189566634,188627239,192596207,95027,109441910,21924317,4281,nan
PM_INST_DISP,255888087,8335887930,3575993854,1221507742,11184708,490656890,143481097,62899,nan
PM_LD_MISS_L1_LSU0,17201813,31909243,3849437,4482520,131,nan,1077784,365,nan
PM_LD_MISS_L1_LSU1,22751070,104053514,6083034,4161648,137,nan,39810,296,nan
PM_0INST_FETCH,39981,6213,26937,44357,148,91693,36236,162,141
PM_FLUSH_BR_MPRED,1252671,260604,253848,1276053,59,2073624,115197,220,180
PM_L1_WRITE_CYC,196614,120203,101731,88052,886,570029,203391,930,1299
PM_LSU_FLUSH,43184,81018,6354,2040,21,18713,524250,50,26
